LinkCardPreview,https://drive.google.com/uc?id=1VjuOeur-2-0DB48aV1ES09bJS3qkr0af&export=view,https://drive.google.com/uc?id=1hbNqMmf_g7Wkdid8NTCB_IZDNNtDKJd5&export=view,https://drive.google.com/uc?id=1q6Tn7aRHPydiNgnmheHNZ_0QwwfczoQM&export=view,https://drive.google.com/uc?id=1h9-ECZ6AIqf-8Q5i35uaUxbaTySdpR09&export=view,https://drive.google.com/uc?id=1C4E6AjXGOv9ICRBxPT7rq1Wq7HBE3tpC&export=view,https://drive.google.com/uc?id=1cg1h6FpS7n9EUAFaQD2OoecCKTJHTx-q&export=view,https://drive.google.com/uc?id=1KWVE1sS4CBiVDJ3JpWXdnr1fSOgm6mhb&export=view,https://drive.google.com/uc?id=1UI5pA1_XEulaUaGZCTbx_RIH5fAWb5j3&export=view,https://drive.google.com/uc?id=1PBRr629tjyoJ_iki1Hhiu0SLvrnejOIF&export=view,https://drive.google.com/uc?id=1IW92lc433h-17-8_4izBPVneGQCD5jO0&export=view,https://drive.google.com/uc?id=1p3iubjLo3tNk1muiVHP0PNf2IF4S4jQ2&export=view,https://drive.google.com/uc?id=1Q6xNXIq774bd2JizSm6a9xJsnuSiqvxq&export=view,https://drive.google.com/uc?id=1trNb4q7-XSEuiK4j0h31TIfddpLlfLE5&export=view,https://drive.google.com/uc?id=14UzErn7BomDH-zFgKSCDoswnKJFPiALU&export=view,https://drive.google.com/uc?id=1kcN6tnuIJykOMsxv6BVjV69obQsTwKo4&export=view,https://drive.google.com/uc?id=1syseg5lK8C4XRBmIRbkS7nXBIq2nUj0w&export=view,https://drive.google.com/uc?id=1DqdnWWJiVzYqBMe4CyMsAr7JzmE-VLWB&export=view,https://drive.google.com/uc?id=1jwfyYTpNEM7a0Wl1ijcrTdsuaSABZEvj&export=view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CardPreview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TitleEN,Byers Residence,Byers Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TraitsEN,Hawkins.,Hawkins.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeywordsEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keywords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RulesEN,,"<act>: Reveal a random token from the chaos bag. If you reveal a <sku> <cul> <tab> <mon> <ten>  symbol, spawn The Monster engaged with you (if The Monster is already in play, it engages you and makes an immediate attack). Otherwise, gain a clue from the token pool. (Limit once per turn.) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlavorEN,"The house looks normal enough. It sits up against a heavily wooded area, and there is a small shed in the back. As far as anyone knows, Will never made it home the night he went missing, but there may be some sign of what happened here.","There is little indication of anything amiss, except for Will's empty room. However, the lights flicker as you enter, and there is a strange charge to the air.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TranslateStatus,New,New,,,,,,,,,,,,,,,Nie,,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie
Side,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LocationIcon,Circle,Circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connection1Icon,T,T,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connection2Icon,Triangle,Triangle,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connection3Icon,Square,Square,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connection4Icon,Slash,Slash,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connection5Icon,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connection6Icon,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shroud,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clues,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PerInvestigator,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CollectionNumber,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EncounterNumber,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EncounterTotal,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReserveCardID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UID,6ef558562fe54226869127153e1b2562-10-7-6-0-0-0,c3a17bffb3514ef0b1c4e375a9b63fe4-10-7-6-0-0-1,6ef558562fe54226869127153e1b2562-10-7-7-0-0-0,c3a17bffb3514ef0b1c4e375a9b63fe4-10-7-7-0-0-1,6ef558562fe54226869127153e1b2562-10-7-8-0-0-0,c3a17bffb3514ef0b1c4e375a9b63fe4-10-7-8-0-0-1,6ef558562fe54226869127153e1b2562-10-7-9-0-0-0,c3a17bffb3514ef0b1c4e375a9b63fe4-10-7-9-0-0-1,6ef558562fe54226869127153e1b2562-10-7-0-1-0-0,c3a17bffb3514ef0b1c4e375a9b63fe4-10-7-0-1-0-1,6ef558562fe54226869127153e1b2562-10-7-1-1-0-0,c3a17bffb3514ef0b1c4e375a9b63fe4-10-7-1-1-0-1,6ef558562fe54226869127153e1b2562-10-7-2-1-0-0,c3a17bffb3514ef0b1c4e375a9b63fe4-10-7-2-1-0-1,6ef558562fe54226869127153e1b2562-10-7-3-1-0-0,c3a17bffb3514ef0b1c4e375a9b63fe4-10-7-3-1-0-1,6ef558562fe54226869127153e1b2562-10-7-4-1-0-0,c3a17bffb3514ef0b1c4e375a9b63fe4-10-7-4-1-0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LinkCardTranslated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCRText,"Byers Residence LOCATION Hawkins. The house looks normal enough. It sits up against a heavily wooded area, and there is a small shed in the back. As far as anyone knows, Will never made it home the night he went missing, but there may be some sign of what happened here. 00000 Illus. Stranger Things","Byers Residence 2 20 Hawkins. : Reveal a random token from the chaos bag. If you reveal a, A.,, or & symbol, spawn The Monster engaged with you (if The Monster is already in play, it engages you and makes an immediate attack). Otherwise, gain a clue from the token pool. (Limit once per turn.) Illus. Stranger Things LOCATION There is little indication of anything amiss, except for Will's empty room. However, the lights flicker as you enter, and there is a strange charge to the air. OOO 8/49 8","Castle Byers Illus. Stranger Things LOCATION Hawkins. There is a small makeshift fort located in the woods not far from the Byers Residence. A sign on the front reads ""Castle Byers."" 39","Castle Byers 3 20 Hawkins. As an additional cost to investigate this location, test (3). If successful, resolve the investigation as normal. Otherwise, you must either cancel the effects of the investigation or lose all remaining actions. Illus. Stranger Things LOCATION The inside of the fort is adorned with pillows, comic books, and drawings made by a child's hand. 15/49 15","ck 11 MELVA Downtown Illus. Stranger Things ERAL STORE - LOCATION Hawkins. Central. It's not much of a downtown, but there are the usual suspects. A hardware store, a general store, a movie theater. Perhaps supplies can be found here that might prove useful. DOO",1â‚ IL Downtown MELVERAL STORE- 18 Hawkins. Central. Spend 1 resource: Place 1 ammo token on a Firearm asset you control. (Limit once per game.) LOCATION Spend 3 resources: Take control of the set- aside Christmas Lights asset. Ian St Thiem ***Y The general store fortunately has a generous selection of weapons and other supplies. 000,Hawkins Middle School HAWKINS MIDDLE SCHOOL LOCATION Hawkins. The town's middle school sits right next to the adjoining high school. There is a large gymnasium that might be useful for extracurricular projects. Illus. Stranger Things 28,"Hawkins Middle School HAWKINS MIDDLE SCHOOL 2 LOCATION Hawkins. Spend 3 resources and exhaust Eleven: Look at one card underneath a location. 20 During school hours, the building is filled with students and staff, but right now it feels eerily quiet and abandoned. Illus. Stranger Things 14/49 14","Hawkins National Laboratory LOCATION Hawkins. Covert. The entrance is blocked to unauthorized visitors. You cannot move into Hawkins National Laboratory. The large building stands at the edge of town. A fence surrounds it, and a guard station blocks the only entrance. There seems to be no way in unless you have a very good reason. Illus. Stranger Things 36","Hawkins National Laboratory 4 Hawkins. Covert. >: Parley. Test (4). If you succeed, you have ""gained access to the Upside Down."" Fight. Test (4). If you succeed, you have ""gained access to the Upside Down."" 2 LOCATION Illus. Stranger Things Getting in is one thing. But it's going to take some smooth talking or swinging fists to find out what's in the basement of this place. Victory 1. 3 10/49 10",Junkyard LOCATION Hawkins. The yard is filled with old cars and vehicles of every descriptions. No one seems to be around and it doesn't seem like this place gets paid much attention to. DOX Illus. Stranger Things,"2 Hawkins. When an enemy would engage you: Test (3). If successful, that enemy cannot engage you until the end of the round. Junkyard over... Illus. Stranger Things LOCATION Resign. ""I'll just hide here 'til this all blows 99 That old bus seems like a likely place to hide... 10 13/49 36 13",Library Illus. Stranger Things 000 LOCATION O TE! Hawkins. The library is an old-looking building in the center of town. There may be public records to help in unraveling the mystery of the laboratory and the strange goings on in town. mot O,"Library it Illus. Stranger Things 1 LOCATION Hawkins. Test (4). If successful, you have discovered a lead about Doctor Brenner. Treat his text box as blank until the end of the round. (Limit once per game.) 20 Test (4). If successful, remember that you have ""researched alternate realities."" (Limit once per game.) There are endless shelves and records as far as the eye can see. OO 16/49 16",Quarry Illus. Stranger Things LOCATION Hawkins. What catches your eye most about the quarry is the precipitous drop in front of you. It is likely that nothing would survive such a fall.,"3 Quarry LOCATION Hawkins. Forced - After a A, or & symbol is revealed during a fight test: Test (4). If you fail, take 2 direct damage. Illus. Stranger Things 30 Forced - After a symbol or positive number is revealed during a fight test: The enemy is immediately discarded if it is non-Elite. Watch your step. 11/49","Wheeler Residence LOCATION Hawkins. Agent enemies cannot move into the Wheeler Residence unless it is Agenda 3. This was the last place that Will was seen before his disappearance. The home seems warm, inviting, and comfortingly quiet. Illus. Stranger Things","O Wheeler Residence 30 2 LOCATION Hawkins. Agent enemies cannot move into the Wheeler Residence unless it is Agenda 3. Spend 2 resources: Heal 1 damage or 1 horror from an Ally . Illus. Stranger Things The house is quiet and peaceful. It is almost as if you could shut out the world and its problems, even if for just a moment. X O 9/49 36 9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoogleTranslator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,